"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Aquatic Warbler","Acrocephalus paludicola",,"Antero Lindholm",2005-06-11,04:00,"Priekulės seniūnija (near  Dreverna), Klaipėda district municipality, Klaipėda County",Lithuania,55.5027,21.2379,0,song,"The coordinates are not exact - close to Dreverna village in any case.","Acrocephalus arundinaceus,Locustella luscinioides",161549,https://creativecommons.org/licenses/by-nc-sa/3.0/
"Aquatic Warbler","Acrocephalus paludicola",,"Teet Sirotkin",2022-05-26,22:10,"Šilutės seniūnija, Šilutės rajono savivaldybė, Klaipėdos apskritis",Lithuania,55.2751,21.4595,0,song,,,727922,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Aquatic Warbler","Acrocephalus paludicola",,"Leconte Michel",2019-06-30,17:00,"Šilutės seniūnija, Šilutės rajono savivaldybė, Klaipėdos apskritis",Lithuania,55.2751,21.4595,0,song,"Wet meadows with Carex spp. and Phalaris arundinacea, others bird's species : A. schoenobaenus, Emberiza schoeniclus, Crex crex, Locustella luscinoides","Crex crex",493773,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Aquatic Warbler","Acrocephalus paludicola",,"Lars Lachmann",2015-05-20,21:04,"Nemunas Delta area, Lithuania",Lithuania,55.3617,21.2163,0,song,"singing male, in background a second male","Acrocephalus arundinaceus",245721,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Sedge Warbler","Acrocephalus schoenobaenus",,"Sunny Tseng",2025-05-07,07:00,"Zuvintas Biosphere",Lithuania,54.4573,23.6364,80,song,"Audio processed by -3dB normalization and 300 Hz (6dB) high-pass filter",,1152271,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Sedge Warbler","Acrocephalus schoenobaenus",,"Sunny Tseng",2025-05-07,07:00,"Zuvintas Biosphere",Lithuania,54.4573,23.6364,80,song,"Audio processed by -3dB normalization and 300 Hz (6dB) high-pass filter",,1152266,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Sedge Warbler","Acrocephalus schoenobaenus",,"Sunny Tseng",2025-05-07,06:30,"Zuvintas Biosphere",Lithuania,54.4573,23.6364,80,song,"Audio processed by -3dB normalization and 300 Hz (6dB) high-pass filter",,1152257,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Sedge Warbler","Acrocephalus schoenobaenus",,"Sunny Tseng",2025-05-09,07:00,"Zuvintas Biosphere",Lithuania,54.4474,23.6083,80,song,"Audio processed by -3dB normalization and 300 Hz (6dB) high-pass filter",,1152289,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Sedge Warbler","Acrocephalus schoenobaenus",,"Sunny Tseng",2025-05-07,06:30,"Zuvintas Biosphere",Lithuania,54.4573,23.6364,80,song,"Audio processed by -3dB normalization and 300 Hz (6dB) high-pass filter",,1152256,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Sedge Warbler","Acrocephalus schoenobaenus",,"Sunny Tseng",2025-05-07,06:30,"Zuvintas Biosphere",Lithuania,54.4573,23.6364,80,song,"Audio processed by -3dB normalization and 300 Hz (6dB) high-pass filter",,1152255,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Sedge Warbler","Acrocephalus schoenobaenus",,"Stephan Risch",2024-06-22,10:00,"Kintai Fish Ponds S near Suvernai",Lithuania,55.3922,21.2653,0,song,,,915848,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Sedge Warbler","Acrocephalus schoenobaenus",,"Stephan Risch",2024-06-21,09:41,"Silute, around lock S Stankiskiai",Lithuania,55.3682,21.2509,-10,song,,,918136,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Blyth's Reed Warbler","Acrocephalus dumetorum",,"Rafał Kurowski",2025-07-01,15:00,Vilniaus,Lithuania,54.6919,25.2426,90,song,,,1015802,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Reed Warbler","Acrocephalus scirpaceus",,"Sunny Tseng",2025-05-07,07:00,"Zuvintas Biosphere",Lithuania,54.4573,23.6364,80,song,"Audio processed by -3dB normalization and 300 Hz (6dB) high-pass filter",,1152274,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Reed Warbler","Acrocephalus scirpaceus",,"Sunny Tseng",2025-05-07,07:00,"Zuvintas Biosphere",Lithuania,54.4573,23.6364,80,song,"Audio processed by -3dB normalization and 300 Hz (6dB) high-pass filter",,1152269,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Reed Warbler","Acrocephalus scirpaceus",,"Sunny Tseng",2025-05-07,07:00,"Zuvintas Biosphere",Lithuania,54.4573,23.6364,80,song,"Audio processed by -3dB normalization and 300 Hz (6dB) high-pass filter",,1152268,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Reed Warbler","Acrocephalus scirpaceus",,"Francesco Sottile",2018-07-04,17:03,"Baltosios Vokės seniūnija (near  Pakrempė), Šalčininkų rajono savivaldybė, Vilniaus apskritis",Lithuania,54.4743,25.1142,130,song,,"Cygnus olor,Chroicocephalus ridibundus",424458,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Reed Warbler","Acrocephalus scirpaceus",,"Juan Verhelst",2014-06-21,20:44,"Verkių seniūnija (near  Vilnius), Vilniaus miesto savivaldybė, Vilnius County",Lithuania,54.7506,25.318,100,"call, song","Saw after playback an individual of what I think is most likely A. scirpaceus, and I think is the most likely ID. Needs confirmation from curator.
Border of a big wetland/marsh inside Verkiu Regional park.",,183478,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Reed Warbler","Acrocephalus scirpaceus",,"Stephan Risch",2024-06-22,10:00,"Kintai Fish Ponds S near Suvernai",Lithuania,55.3922,21.2653,0,song,,,915845,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Marsh Warbler","Acrocephalus palustris",,"Lars Lachmann",2015-05-20,01:35,"Nemunas Delta area, Lithuania",Lithuania,55.3617,21.2163,0,song,"singing male at night, long recording (8:30 min), second male in background","Luscinia luscinia",245722,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Icterine Warbler","Hippolais icterina",,"Francesco Sottile",2018-07-03,12:55,"Baltosios Vokės seniūnija (near  Baltoji Vokė), Šalčininkų rajono savivaldybė, Vilniaus apskritis",Lithuania,54.4603,25.1148,130,song,,,424323,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Icterine Warbler","Hippolais icterina",,"Veljo Runnel",2012-07-12,06:00,"Zemaitija National Park, Plungės rajono savivaldybė, Telšių apskritis",Lithuania,56.0705,21.8314,150,song,,"Columba palumbus,Acrocephalus palustris",211204,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Icterine Warbler","Hippolais icterina",,"Juan Verhelst",2014-06-25,15:55,"Vilkpėdės seniūnija (near  Vilnius), Vilnius city municipality, Vilnius County",Lithuania,54.6822,25.2477,120,"call, song","A bit of noise from a motorway in the background, so passed a highpass filter to clear it up a bit.
Sunny day, with some few clouds.",,186054,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Icterine Warbler","Hippolais icterina",,"Stephan Risch",2024-06-21,08:25,"Suverai and environment",Lithuania,55.3964,21.2547,0,song,,,917921,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Icterine Warbler","Hippolais icterina",,"Juan Verhelst",2014-06-25,15:57,"Vilkpėdės seniūnija (near  Vilnius), Vilnius city municipality, Vilnius County",Lithuania,54.6822,25.2477,120,song,"A bit of noise from a motorway in the background, so passed a highpass filter to clear it up a bit.
Sunny day, with some few clouds.",,186056,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Icterine Warbler","Hippolais icterina",,"Juan Verhelst",2014-06-25,15:55,"Vilkpėdės seniūnija (near  Vilnius), Vilnius city municipality, Vilnius County",Lithuania,54.6822,25.2477,120,"call, song","A bit of noise from a motorway in the background, so passed a highpass filter to clear it up a bit.
Sunny day, with some few clouds.",,186055,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Icterine Warbler","Hippolais icterina",,"Juan Verhelst",2014-06-06,14:12,"Palangos miesto savivaldybė (near  Palanga), Palangos miesto savivaldybė, Klaipėda County",Lithuania,55.9081,21.0575,10,song,"In medium level to canopy, woodland, some conifers mixed with many other tress such as birch, oak, ash?, etc.
After playback.",,183182,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Icterine Warbler","Hippolais icterina",,"Juan Verhelst",2014-06-06,12:54,"Palangos miesto savivaldybė (near  Palanga), Palangos miesto savivaldybė, Klaipėda County",Lithuania,55.9081,21.0575,10,song,"In medium level to canopy, woodland, some conifers mixed with many other tress such as birch, oak, ash?, etc.
After playback.",,183181,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Icterine Warbler","Hippolais icterina",,"Juan Verhelst",2014-06-06,12:51,"Palangos miesto savivaldybė (near  Palanga), Palangos miesto savivaldybė, Klaipėda County",Lithuania,55.9081,21.0575,10,song,"In medium level to canopy, woodland, some conifers mixed with many other tress such as birch, oak, ash?, etc.
After playback.",,183180,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Icterine Warbler","Hippolais icterina",,"Juan Verhelst",2014-06-06,12:49,"Palangos miesto savivaldybė (near  Palanga), Palangos miesto savivaldybė, Klaipėda County",Lithuania,55.9081,21.0575,10,song,"In medium level to canopy, woodland, some conifers mixed with many other tress such as birch, oak, ash?, etc.",,183179,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Icterine Warbler","Hippolais icterina",,"Juan Verhelst",2014-06-06,12:47,"Palangos miesto savivaldybė (near  Palanga), Palangos miesto savivaldybė, Klaipėda County",Lithuania,55.9081,21.0575,10,song,"In medium level to canopy, woodland, some conifers mixed with many other tress such as birch, oak, ash?, etc.",,183178,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Icterine Warbler","Hippolais icterina",,"Juan Verhelst",2014-06-03,14:00,"Kretingos miesto seniūnija (near  Kretinga), Kretinga district municipality, Klaipėda County",Lithuania,55.8976,21.2526,30,song,"Not sure ID of this species, initially thought of a Sylvia, but think that possibly is an Hippolais, need confirmation from curator in Xeno-canto.
Open area with a lagoon nearby and singing in some scattered trees.
Identity confirmed by Piotr Szczypinski as H. icterina.",,182501,https://creativecommons.org/licenses/by-nc-sa/4.0/
"River Warbler","Locustella fluviatilis",,"Teet Sirotkin",2022-05-28,10:16,"Šilutės seniūnija (near  Sausgalviai)",Lithuania,55.2803,21.4603,0,song,,,728695,https://creativecommons.org/licenses/by-nc-sa/4.0/
"River Warbler","Locustella fluviatilis",,"Stephan Risch",2024-06-20,15:00,"Klaipeéda, Silute, Lagoon at Suvernai ",Lithuania,55.401,21.2374,0,song,"Shrubbery and reeds close to the Kuronian Lagoon",,921387,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Savi's Warbler","Locustella luscinioides",,"Sunny Tseng",2025-05-07,06:30,"Zuvintas Biosphere",Lithuania,54.4573,23.6364,80,song,"Audio processed by -3dB normalization and 300 Hz (6dB) high-pass filter",,1152260,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Savi's Warbler","Locustella luscinioides",luscinioides,"Lars Lachmann",2015-05-19,22:00,"Nemunas Delta area, Lithuania",Lithuania,55.3617,21.2163,0,song,"song, second bird singing in background","Cygnus olor,Acrocephalus scirpaceus,Acrocephalus schoenobaenus,Botaurus stellaris,Acrocephalus arundinaceus,Luscinia luscinia",245843,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Blackcap","Sylvia atricapilla",,"Sunny Tseng",2025-05-13,08:00,"Parnidis Dune",Lithuania,55.2859,20.9744,10,song,"Audio processed by normalization (-3dB) and high-pass filter (300Hz, 6dB)",,1152737,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Blackcap","Sylvia atricapilla",,"Sunny Tseng",2025-05-11,12:00,"Juodkrantės (cormorant colony)",Lithuania,55.5188,21.1118,20,song,"Audio processed by high-pass filter (300 Hz, 6dB) and normalization (-3dB). ",,1152630,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Blackcap","Sylvia atricapilla",,"Sunny Tseng",2025-05-11,05:30,"Nida (reed area)",Lithuania,55.3117,21.0123,0,song,"Audio processed by high-pass filter (300 Hz, 6dB) and normalization (-3dB). ",,1152575,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Blackcap","Sylvia atricapilla",,"Sunny Tseng",2025-05-04,06:00,"Vilnius forest ",Lithuania,54.8457,25.3958,150,song,"Audio processed by -3dB normalization and 300 Hz (6dB) high-pass filter",,1152243,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Blackcap","Sylvia atricapilla",,"Sunny Tseng",2025-05-03,08:00,"Vilnius forest ",Lithuania,54.8457,25.3958,150,call,"Audio processed by Audacity: 3dB normalization and 300 Hz (6db) high pass filter.",,1151594,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Blackcap","Sylvia atricapilla",,"Sunny Tseng",2025-05-03,07:30,"Vilnius forest ",Lithuania,54.8457,25.3958,150,song,"Audio processed in Audacity with -3 dB normalization and a 300 Hz (6 dB/octave) high-pass filter.",,1151554,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Blackcap","Sylvia atricapilla",,"Stephan Risch",2024-06-17,16:16,"Klaipėda, Giruliai",Lithuania,55.7667,21.0907,30,song,,,921235,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Blackcap","Sylvia atricapilla",,"Dmitry Kulakov",2018-06-26,18:30,"Alytaus seniūnija (near  Alytus), Alytaus miesto savivaldybė, Alytaus apskritis",Lithuania,54.3705,24.0071,70,song,,,423153,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Blackcap","Sylvia atricapilla",,"Juan Verhelst",2014-06-21,13:07,"Verkių seniūnija (near  Vilnius), Vilniaus miesto savivaldybė, Vilnius County",Lithuania,54.7703,25.3415,140,song,,,183470,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Blackcap","Sylvia atricapilla",,"Juan Verhelst",2014-06-30,18:08,"Verkių seniūnija (near  Vilnius), Vilniaus miesto savivaldybė, Vilnius County",Lithuania,54.7743,25.3385,110,song,,,186071,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Blackcap","Sylvia atricapilla",,"Juan Verhelst",2014-06-15,16:21,"Verkių seniūnija (near  Vilnius), Vilniaus miesto savivaldybė, Vilnius County",Lithuania,54.7718,25.3368,130,"alarm call, call","Bosque de coniferas, con otras especies mezcladas, particularmente en el sotobosque.
Background Fringilla coelebs and Parus major.
I thought of a squirrel, but could not see it and then something flew (maybe a Jay?) and did not listen any more this call.
Identified as Sylvia atricapilla by Sonnenburg, which I agree.",,183390,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Blackcap","Sylvia atricapilla",,"Juan Verhelst",2014-06-15,13:50,"Verkių seniūnija (near  Vilnius), Vilniaus miesto savivaldybė, Vilnius County",Lithuania,54.7703,25.3415,140,song,"Conifer woodland in canopy mostly but mixed with some few other species mainly in undergrowth.
Individual singing in medium level to canopy.",,183378,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Blackcap","Sylvia atricapilla",,"Juan Verhelst",2014-05-25,12:00,"Verkių seniūnija (near  Vilnius), Vilniaus miesto savivaldybė, Vilnius County",Lithuania,54.7743,25.3385,110,song,,,180107,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Blackcap","Sylvia atricapilla",,"Stephan Risch",2024-06-18,14:40,"Kuronian Spit. Large Cormorant Colony S of Juodkrante",Lithuania,55.5195,21.1108,20,song,,,917939,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Garden Warbler","Sylvia borin",,"Sunny Tseng",2025-05-11,05:30,"Nida (reed area)",Lithuania,55.3117,21.0123,0,song,"Audio processed by high-pass filter (300 Hz, 6dB) and normalization (-3dB). ",,1152578,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Garden Warbler","Sylvia borin",,"Francesco Sottile",2018-07-04,18:36,"Baltosios Vokės seniūnija (near  Pakrempė), Šalčininkų rajono savivaldybė, Vilniaus apskritis",Lithuania,54.4728,25.108,130,song,,"Phylloscopus collybita",424293,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Garden Warbler","Sylvia borin",,"Juan Verhelst",2014-06-15,15:47,"Verkių seniūnija (near  Vilnius), Vilniaus miesto savivaldybė, Vilnius County",Lithuania,54.7738,25.3403,110,song,"In secondary growth, with some tall pines spread around, near a small stream.
Singing in medium level.
Not completely sure of identity. In background there is Phylloscopus collybita and Fringilla coelebs.
Identified as Sylvia borin by Jose Carlos Sires and Sonennburg, which I agree.",,183383,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Garden Warbler","Sylvia borin",,"Juan Verhelst",2014-06-15,15:45,"Verkių seniūnija (near  Vilnius), Vilniaus miesto savivaldybė, Vilnius County",Lithuania,54.7738,25.3403,110,song,"In secondary growth, with some tall pines spread around, near a small stream.
Singing in medium level.
Seems that in this recording there are a couple of things and made confusing identification. Jose Carlos Sires kindly helped me to clarify IDs. Thus at the beginning there are some notes of Hippolais icterina while most of the recording is dominated by Sylvia borin. Otherwise, in background sings Phylloscopus collybita and Fringilla coelebs.","Fringilla coelebs,Hippolais icterina,Phylloscopus collybita",183381,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Garden Warbler","Sylvia borin",,"Juan Verhelst",2012-05-20,17:00,"Verkių seniūnija (near  Vilnius), Vilniaus miesto savivaldybė, Vilnius County",Lithuania,54.7743,25.3385,110,song,"Individual singing on top of a hedgerow. The recording was slightly modified, filtered with a high pass (about 1500 hz), recording taking with a mobile phone (Sony-E k800i), therefore a range of frequencies lost and quality not very high.
Originally identified in the field as Chaffinch - Fringilla coelebs-, but apparently a confusion. Identified as Garden Warbler - Sylvia borin- by Jarek Matusiak.",,147896,https://creativecommons.org/licenses/by-nc-sa/3.0/
"Lesser Whitethroat","Curruca curruca",,"Sunny Tseng",2025-05-11,10:00,"Parnidis Dune",Lithuania,55.2859,20.9744,10,song,"Audio processed by normalization (-3dB), and high-pass filter (300 Hz with 6dB). ",,1152627,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Lesser Whitethroat","Curruca curruca",,"Sunny Tseng",2025-05-11,10:00,"Parnidis Dune",Lithuania,55.2859,20.9744,10,song,"Audio processed by normalization (-3dB), and high-pass filter (300 Hz with 6dB). ",,1152626,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Lesser Whitethroat","Curruca curruca",,"Jacques PREVOST",2005-05-00,?,"Neringa, Lithuania",Lithuania,55.4634,21.0806,10,song,,"Carpodacus erythrinus",46574,https://creativecommons.org/licenses/by-nc-nd/2.5/
"Lesser Whitethroat","Curruca curruca",,"Stephan Risch",2024-06-18,10:23,"Kuronian Spit, Juodkrantė, village",Lithuania,55.5436,21.121,0,song,,"Sylvia atricapilla",918107,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Lesser Whitethroat","Curruca curruca",,"Stephan Risch",2024-06-21,10:51,"Suverai and environment",Lithuania,55.3964,21.2547,0,song,,"Alauda arvensis,Grus grus",917765,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Lesser Whitethroat","Curruca curruca",,"Juan Verhelst",2014-05-24,10:30,"Antakalnio seniūnija (near  Vilnius), Vilniaus miesto savivaldybė, Vilnius County",Lithuania,54.735,25.4014,150,song,"Vilnius Botanical Garden. Entrance Rhododendron collection. Singing at mid level in Conifers.
Recording edited to cut off some short pieces in between with a lot of noise.",,179674,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Common Whitethroat","Curruca communis",,"Sunny Tseng",2025-05-09,07:00,"Zuvintas Biosphere",Lithuania,54.4474,23.6083,80,song,"Audio processed by -3dB normalization and 300 Hz (6dB) high-pass filter",,1152292,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Common Whitethroat","Curruca communis",,"Sunny Tseng",2025-05-09,07:00,"Zuvintas Biosphere",Lithuania,54.4474,23.6083,80,song,"Audio processed by -3dB normalization and 300 Hz (6dB) high-pass filter",,1152291,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Common Whitethroat","Curruca communis",,"Sunny Tseng",2025-05-09,07:00,"Zuvintas Biosphere",Lithuania,54.4474,23.6083,80,song,"Audio processed by 3dB normalization and 300 Hz (6dB) high-pass filter","Columba palumbus,Grus grus,Cuculus canorus,Acrocephalus schoenobaenus,Gallinago gallinago",1152281,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Common Whitethroat","Curruca communis",volgensis,"Jarek Matusiak",2016-06-29,13:00,"Lazdijų seniūnija (near  Virbalai), Lazdijų rajono savivaldybė, Alytaus apskritis",Lithuania,54.2484,23.4118,180,"flight call, song","Unusually stereotyped singing bird. In  1:09 and   2:10 flight songs",,325324,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Common Whitethroat","Curruca communis",,"Jacques PREVOST",2005-05-26,10:00,Neringa,Lithuania,55.4634,21.0806,5,song,,,78246,https://creativecommons.org/licenses/by-nc-nd/2.5/
"Common Whitethroat","Curruca communis",,"Sunny Tseng",2025-05-07,16:00,"Zuvintas Biosphere (lake shore)",Lithuania,54.461,23.6435,80,song,"Audio processed by high-pass filter (300 Hz 6dB) and normalization (-3dB)",,1152319,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Common Whitethroat","Curruca communis",,"Stephan Risch",2024-06-20,09:32,"Suverai and environment",Lithuania,55.3964,21.2547,0,song,,,921892,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Common Whitethroat","Curruca communis",,"Stephan Risch",2024-06-17,16:16,"Klaipėda, Giruliai Beach",Lithuania,55.7666,21.0792,0,song,"Coastal shrubbery.",,921244,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Common Whitethroat","Curruca communis",,"Stephan Risch",2024-06-18,13:04,"Juodkrante, Forest path to beach",Lithuania,55.5413,21.11,40,song,"Coastal shrubbery. Song and flight song.","Parus major",918064,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Common Whitethroat","Curruca communis",,"Stephan Risch",2024-06-20,17:42,"Suverai and environment",Lithuania,55.3964,21.2547,0,song,,"Emberiza citrinella",917644,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Common Whitethroat","Curruca communis",,"Stephan Risch",2024-06-20,17:41,"Suverai and environment",Lithuania,55.3964,21.2547,0,song,,"Emberiza citrinella",917643,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Common Whitethroat","Curruca communis",,"Stephan Risch",2024-06-20,10:01,"Suverai and environment",Lithuania,55.3964,21.2547,0,song,,"Alauda arvensis,Sterna hirundo",917639,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Common Whitethroat","Curruca communis",,"Francesco Sottile",2019-11-04,17:38,"Baltosios Vokės seniūnija (near  Pakrempė), Šalčininkų rajono savivaldybė, Vilniaus apskritis",Lithuania,54.4768,25.1158,130,call,,"Phylloscopus trochilus,Phylloscopus collybita",506624,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Common Whitethroat","Curruca communis",,"Dmitry Kulakov",2016-05-24,07:00,"Tauragės miesto seniūnija (near  Tauragė), Tauragės rajono savivaldybė, Tauragės apskritis",Lithuania,55.2564,22.2687,20,song,,,318801,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Common Whitethroat","Curruca communis",,"Juan Verhelst",2014-06-05,14:47,"Palangos miesto savivaldybė (near  Palanga), Palangos miesto savivaldybė, Klaipėda County",Lithuania,55.928,21.0573,0,song,"Dunes behind beach. Planted conifer woodland.",,183170,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Common Whitethroat","Curruca communis",,"Juan Verhelst",2014-05-25,11:30,"Verkių seniūnija (near  Vilnius), Vilniaus miesto savivaldybė, Vilnius County",Lithuania,54.7743,25.3385,110,song,"Misidentified initially as S. borin and reidentified as S. communis by suggestion of Herman van deer Meer (see forum on this recording).",,180106,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Common Firecrest","Regulus ignicapilla",,"Sunny Tseng",2025-05-11,12:00,"Juodkrantė (sound catcher)",Lithuania,55.5546,21.1164,50,song,"Audio processed by high-pass filter (300 Hz, 6dB) and normalization (-3dB). ",,1152649,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Common Firecrest","Regulus ignicapilla",,"Sunny Tseng",2025-05-03,08:00,"Vilnius forest ",Lithuania,54.8457,25.3958,150,song,"Audio processed by Audacity: 3dB normalization and 300 Hz (6db) high pass filter.",,1151588,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Common Firecrest","Regulus ignicapilla",,"Igoris S.",2024-04-01,10:00,"Suvieko seniūnija (near  Stelmužė), Zarasai District Municipality, Utena County",Lithuania,55.8348,26.2015,160,song,"Normalized with -3 dB in order to make it louder.
Habitat: mixed forest. Was singing from spruce.","Turdus philomelos,Erithacus rubecula,Troglodytes troglodytes",893151,https://creativecommons.org/licenses/by-nc-sa/4.0/
Goldcrest,"Regulus regulus",,"Sunny Tseng",2025-05-11,12:00,"Juodkrantė (sound catcher)",Lithuania,55.5546,21.1164,50,call,"Audio processed by high-pass filter (300 Hz, 6dB) and normalization (-3dB). ",,1152665,https://creativecommons.org/licenses/by-nc-sa/4.0/
Goldcrest,"Regulus regulus",,"Francesco Sottile",2018-07-02,13:04,"Verkių seniūnija (near  Vilnius), Vilniaus miesto savivaldybė, Vilniaus apskritis",Lithuania,54.7635,25.274,180,song,,,424456,https://creativecommons.org/licenses/by-nc-sa/4.0/
Goldcrest,"Regulus regulus",,"Juan Verhelst",2013-09-09,11:30,"Verkių seniūnija (near  Vilnius), Vilniaus miesto savivaldybė, Vilnius County",Lithuania,54.7743,25.3385,110,call,"I saw around jumping a Regulus, may be a call or song of one of these sp. Some bits from the recording edited to shorten long spaces and very noisy parts. Recorded with DVR Olympus DN650.
Albert Lastukhin (25/09/2013) confirmed ID as Goldcrest - Regulus regulus",,148637,https://creativecommons.org/licenses/by-nc-sa/3.0/
"Eurasian Wren","Troglodytes troglodytes",,"Sunny Tseng",2025-05-08,08:30,"Zuvintas Biosphere (nature trail) ",Lithuania,54.4398,23.4184,110,song,"Audio processed by high-pass filter (300Hz at 6dB) and normalization (-3dB). ",,1152294,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Wren","Troglodytes troglodytes",,"Sunny Tseng",2025-05-04,06:00,"Vilnius forest ",Lithuania,54.8457,25.3958,150,song,"Audio processed by -3dB normalization and 300 Hz (6dB) high-pass filter",,1152245,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Wren","Troglodytes troglodytes",,"Sunny Tseng",2025-05-04,06:00,"Vilnius forest ",Lithuania,54.8457,25.3958,150,song,"Audio processed by -3dB normalization and 300 Hz (6dB) high-pass filter",,1152244,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Wren","Troglodytes troglodytes",,"Sunny Tseng",2025-05-03,08:00,"Vilnius forest ",Lithuania,54.8457,25.3958,150,song,"Audio processed by Audacity: 3dB normalization and 300 Hz (6dB) high-pass filter",,1151575,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Wren","Troglodytes troglodytes",,"Sunny Tseng",2025-05-03,08:00,"Vilnius forest ",Lithuania,54.8457,25.3958,150,song,"Audio processed by Audacity: 3dB normalization and 300 Hz (6dB) high-pass filter",,1151573,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Wren","Troglodytes troglodytes",,"Sunny Tseng",2025-05-03,08:00,"Vilnius forest ",Lithuania,54.8457,25.3958,150,song,"Audio processed by Audacity: 3dB normalization and 300 Hz (6dB) high-pass filter",,1151572,https://creativecommons.org/licenses/by-nc-sa/4.0/
